dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[06:15-06:30[,0.07114,0.01590,0.01580,0.03367
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[06:30-06:45[,0.07064,0.01544,0.01580,0.03316
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[06:45-07:00[,0.07241,0.01697,0.01580,0.03490
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[07:00-07:15[,0.06669,0.01182,0.01580,0.02913
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[07:15-07:30[,0.06474,0.01004,0.01580,0.02714
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[07:30-07:45[,0.05954,0.00541,0.01580,0.02192
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[07:45-08:00[,0.05469,0.00110,0.01580,0.01704
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[08:00-08:15[,0.12218,0.00089,0.08350,0.08451
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[08:15-08:30[,0.12155,0.00031,0.08350,0.08385
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[08:30-08:45[,0.12124,0.00000,0.08350,0.08350
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[08:45-09:00[,0.12071,-0.00050,0.08350,0.08293
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[09:00-09:15[,0.12040,-0.00081,0.08350,0.08258
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[09:15-09:30[,0.12025,-0.00099,0.08350,0.08237
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[09:30-09:45[,0.11971,-0.00150,0.08350,0.08178
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[09:45-10:00[,0.11911,-0.00206,0.08350,0.08114
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[10:00-10:15[,0.11911,-0.00210,0.08350,0.08109
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[10:15-10:30[,0.11914,-0.00210,0.08350,0.08108
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[10:30-10:45[,0.11918,-0.00210,0.08350,0.08108
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[10:45-11:00[,0.11817,-0.00300,0.08350,0.08004
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[11:00-11:15[,0.11704,-0.00400,0.08350,0.07888
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[11:15-11:30[,0.11706,-0.00400,0.08350,0.07888
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[11:30-11:45[,0.11709,-0.00400,0.08350,0.07887
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[11:45-12:00[,0.11711,-0.00400,0.08350,0.07887
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[12:00-12:15[,0.11713,-0.00400,0.08350,0.07886
03/04/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[12:15-12:30[,0.11715,-0.00400,0.08350,0.07886
